TS,rh,pa_hpa,t_a,pw_hpa,dw_ir,lw_s,esky_c,lw_c,zen,cs_period,w,q,he,tau,esky_t,lw_c_t,site
2012-07-24 18:38:00+00:00,26.9,901.3,304.54999999999995,12.346167194073455,386.9,400.6104055025413,0.8147678335516615,397.40046424913015,23.31,True,0.008638321573046502,0.008564340049636817,2944.564536370117,1.6292390901642928,0.80392128439862,392.1100938007411,DRA
2012-07-24 18:40:00+00:00,26.8,901.3,304.54999999999995,12.300270661753482,387.7,401.41246821269294,0.8144017535442566,397.2219098697055,23.01,True,0.008605764539312432,0.008532337253935061,2944.564536370117,1.6274533807049967,0.8035708319714225,391.93916172471836,DRA
2012-07-24 18:48:00+00:00,25.2,901.2,305.15,11.966525348783643,388.0,401.7630717942346,0.8117189291055097,399.04259003346954,21.87,True,0.008370062136218825,0.00830058571799222,2943.976498986523,1.6143615510242413,0.8009823074701028,393.76444614402817,DRA
2012-07-26 19:32:00+00:00,9.7,899.2,307.35,5.212103504546558,362.6,376.0770158479092,0.7458481778918182,377.34915573131076,17.91,True,0.003626250590714071,0.0036131484091610133,2932.2267144515486,1.3124438279654127,0.7308385323481799,369.75528174783136,DRA
2012-07-26 19:33:00+00:00,9.8,899.3,307.45,5.295254734520089,362.9,376.2655514555502,0.7468639548029432,378.3550798641164,17.86,True,0.003684032503427897,0.0036705102244568334,2932.8137076534067,1.3169914435188794,0.7320597962008955,370.8554160040809,DRA
2012-07-31 14:45:00+00:00,57.3,905.0,298.85,18.886806005486033,391.0,404.8102166790071,0.8613701371023245,389.5497513940016,68.66,True,0.013257014655584657,0.01308356563422444,2966.3586042345864,1.873194287125257,0.8463678679519564,382.765060392835,DRA
2012-08-07 01:31:00+00:00,15.4,900.7,309.85,9.500143832990167,416.6,430.6095169126464,0.7906048987145415,413.1669580400384,76.47,True,0.0066302742536977054,0.006586603267632997,2941.03709506281,1.5142166917781985,0.7800195701421686,407.63510766419,DRA
2012-08-07 01:35:00+00:00,15.2,900.7,310.15,9.531851675102155,418.4,432.4525780560038,0.7908927032963519,414.92040252439955,77.26,True,0.006652640263258837,0.006608675125035231,2941.03709506281,1.5155489869116312,0.7803124538512258,409.3697616596104,DRA
2012-08-07 01:43:00+00:00,15.2,900.7,310.04999999999995,9.479910335298593,416.1,430.1708983446197,0.7904209929547339,414.1383880118263,78.82,True,0.0066160028243611,0.006572519019961865,2941.03709506281,1.5133657594699577,0.7798323020222749,408.5904794504262,DRA
2012-08-07 01:50:00+00:00,15.5,900.8,309.75,9.509616832271997,416.4,430.57029207064784,0.7906909331320118,412.6787426818677,80.18,True,0.0066362114850996405,0.006592462509677827,2941.6248714444555,1.5146620710206844,0.7801175230446664,407.1602506923093,DRA
2012-08-07 18:32:00+00:00,18.3,903.0,309.45,11.044289326878031,413.6,427.7053317724482,0.8041045172183886,418.0560662707049,26.83,True,0.00770142171111568,0.0076425631096544155,2954.5691570744543,1.5787157178832876,0.7937602017216012,412.67802927147295,DRA
2012-08-07 19:51:00+00:00,15.8,901.8,310.65,10.18194222471179,423.1,437.34231353611887,0.7966912723573711,420.66421693953214,20.49,True,0.00710277721463815,0.00705268357444354,2947.5055062186357,1.543090443759915,0.7862804086038991,415.1671341918327,DRA
2012-08-09 17:29:00+00:00,16.4,902.2,309.65,10.006802475153785,399.9,413.731724242601,0.795147770412394,414.4691998266809,37.65,True,0.00697610228453106,0.006927773428489857,2949.8592215446447,1.5360599079929609,0.7847725510602084,409.06113729674826,DRA
2012-08-09 17:48:00+00:00,16.0,902.1,309.65,9.762734122101255,402.2,416.0552378416371,0.7929740958168081,413.3361762506368,34.26,True,0.006804854623313939,0.006758861553026487,2949.270714430506,1.5258751149517347,0.7825693032697935,407.9126987514958,DRA
2012-08-12 23:53:00+00:00,14.1,896.1,312.75,10.178003558490541,432.3,446.6007442812224,0.7966567075690871,432.1361220548465,58.08,True,0.007145679505348981,0.007094981044706978,2914.0558327116373,1.5401501804268627,0.7856510920008738,426.16626830568725,DRA
2012-08-14 17:42:00+00:00,28.3,901.0,304.65,13.062773799814611,385.5,399.1363197466279,0.8203977732985682,400.6722663159137,36.2,True,0.009150178422834769,0.009067211816912385,2942.80058081471,1.6567341806188634,0.809239045256544,395.22247964008653,DRA
2012-08-14 19:32:00+00:00,22.5,899.3,307.75,12.362072745123772,400.2,414.1381382776856,0.8148945406269766,414.4324320182517,22.89,True,0.008669109494291062,0.00859460194893589,2932.8137076534067,1.628782630163862,0.8038317618778416,408.8062140559171,DRA
2012-08-14 19:48:00+00:00,21.0,899.0,308.35,11.928262093144358,402.4,416.37671316932807,0.8114089706401973,415.88733554729714,22.58,True,0.008363630741071984,0.008294260608075818,2931.0528847128076,1.611700264138781,0.8004519589031693,410.2713236694919,DRA
2012-08-14 21:52:00+00:00,16.6,896.9,309.75,10.18449286553001,409.8,423.8206910327816,0.7967136526018707,415.8221305647942,35.52,True,0.007143836801696674,0.00709316439286643,2918.7402862324343,1.5408068106204882,0.7857917937662675,410.12177561804907,DRA
2012-08-14 21:56:00+00:00,16.6,896.9,309.54999999999995,10.073445079994292,408.8,422.7271371664798,0.7957366697416773,414.2406219466814,36.21,True,0.007065058365804138,0.007015493494798468,2918.7402862324343,1.5362440801611712,0.7848121863161704,408.5536089174876,DRA
2012-08-14 23:31:00+00:00,14.5,895.5,310.65,9.344187484703856,418.6,432.6441971366363,0.7891822769799236,416.69936158080594,54.14,True,0.006558550595339895,0.006515816284567619,2910.5446873472292,1.5052037527124902,0.778027938185659,410.8097135362334,DRA
2012-08-14 23:42:00+00:00,13.8,895.4,310.95,9.039331297820523,414.5,428.5368257529437,0.786366691925586,416.81892978473405,56.32,True,0.006343110066978296,0.006303128628322525,2909.959679371591,1.4922325308921083,0.7751299346434842,410.86281135720066,DRA
2012-08-14 23:47:00+00:00,13.9,895.3,310.75,9.006400383006673,412.9,426.9227257816529,0.7860597262913067,415.58529752938404,57.31,True,0.006320479931981091,0.006280782373035181,2909.374723661474,1.49078118863808,0.7748033342688334,409.6341072173729,DRA
